,mel0,mel1,mel2,mel3,mel4,mel5,mel6,mel7,mel8,mel9,mel10,mel11,y
0,0.9982555508613586,0.0480943880975246,0.0061233802698552,0.0298900697380304,0.0150425601750612,0.0025553172454237,0.0018590787658467,0.0021706698462367,0.0009575809817761,0.0002811915474012,9.90195621852763e-05,5.222694016993046e-05,0.0
1,0.9990781545639038,0.0426964424550533,0.0040984423831105,0.0013363898033276,0.000816487125121,0.0001927356934174,0.0002353907620999,0.0006836126558482,0.000268499366939,0.0002701151825021,0.0001387254160363,8.27522890176624e-05,0.0
2,0.9993364810943604,0.0363547094166278,0.0019406725186854,0.0010323608294129,0.0002437964722048,1.7462129108025692e-05,3.7933001294732094e-05,8.364778477698565e-05,3.136137092951685e-05,5.182861059438437e-05,1.170340328826569e-05,2.604472501843702e-05,0.0
3,0.999999225139618,0.0011839318322017,0.0001562599209137,0.0002180932933697,1.4506301340588834e-05,3.3254725622100523e-06,1.597888331161812e-05,2.2691894628223963e-05,1.0069543350255117e-05,4.831285878026392e-06,2.4227192625403404e-06,1.5475791315111564e-06,0.0
4,0.9964463710784912,0.0840729102492332,0.0050699110142886,0.0006225401302799,0.0004566236457321,3.231519440305419e-05,3.329406172269955e-05,0.000103630736703,3.493731492199004e-05,2.59661755990237e-05,2.291516102559399e-05,1.599996176082641e-05,0.0
5,0.9983866810798644,0.0564858429133892,0.00575509108603,0.0002408743894193,0.0002989158965647,4.280859138816595e-05,8.248384256148711e-05,0.0001156402140622,1.2071297533111648e-05,9.575580406817608e-06,4.157881448918488e-06,2.578015028120717e-06,0.0
6,0.9999638199806212,0.0085001215338706,0.0002226501674158,0.0002151281078113,4.870045813731849e-05,1.231287660630187e-05,9.445265277463475e-06,1.1912508853129111e-05,2.844883738362114e-06,1.544950578136195e-06,8.195590908144368e-07,6.015264943926013e-07,0.0
7,0.9999505281448364,0.0072366395033895,0.0035337100271135,0.0040952754206955,0.0035223045852035,0.0007779821171425,0.0008768640109337,0.0011452224571257,0.0006467184284701,0.0010017860913649,0.0007396946311928,0.0004498353227972,0.0
8,0.9997626543045044,0.0210065431892871,0.003449551993981,0.0040744733996689,0.001988259376958,0.000330115261022,0.0004845354997087,0.0007124941912479,0.0001257992116734,8.04413139121607e-05,0.0001604668505024,0.0001126580755226,0.0
9,0.9999815821647644,0.0060152290388941,0.0006117795710451,0.0004470690328162,8.65350230014883e-05,1.3815759302815422e-05,2.0749521354446188e-05,3.380955240572803e-05,7.237108547997195e-06,2.278192823723657e-06,9.249966410607158e-07,8.337390227097785e-07,0.0
